neighborhood,title,price,bedrooms,pid,longitude,sourcepage,link,date,latitude,sqft
nob hill,Central Nob Hill Location/Hardwood Floors/Available NOW!,3695,1,4761907341,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761907341.html,2014-11-14 16:07,,
USF / panhandle, 4 bedroom 2 bath near USF w/ parking ~ J.Wavro,6000,4,4761904118,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761904118.html,2014-11-14 16:05,,
lower nob hill,THIS AMAZING 1BR/1BA IS WAITING FOR YOU,2837,1,4761812201,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761812201.html,2014-11-14 16:05,,470
russian hill,Furnished or unfurnished condo with 3 car parking! ~ J.Wavro,9995,4,4761899823,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761899823.html,2014-11-14 16:02,,
castro / upper market,Sweeping panoramic views of SF and East Bay! ,3150,1,4761899527,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761899527.html,2014-11-14 16:01,,
SOMA / south beach,Luxury furnished 2 story townhome in Mission Bay! ~ J.Wavro,5950,2,4761896530,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761896530.html,2014-11-14 15:59,,
mission district, Sunny Mission 2Bed/2Bath Just remodeled. ~ J.Wavro,4480,2,4761893099,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761893099.html,2014-11-14 15:56,,
glen park,Ultra modern 3-level furnished home! ~ J.Wavro,11950,4,4761879708,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761879708.html,2014-11-14 15:55,,
hollister, Hollister -Spacious Studio Available Now! ,895,,4761896987,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761896987.html,2014-11-14 16:06,,500
sunnyvale,We Make Moving Simple,2295,2,4725896448,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4725896448.html,2014-11-14 16:06,,1100
sunnyvale,Cats & Dogs Welcome,1895,1,4745103118,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4745103118.html,2014-11-14 16:06,,800
sunnyvale,Recently Remodeled Apartments Home,2495,2,4761889653,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761889653.html,2014-11-14 16:05,,
santa clara,1BR for rent,1500,1,4761903658,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761903658.html,2014-11-14 16:05,,850
san jose north,Beautful Home in North San Jose!! ,2800,3,4736151623,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4736151623.html,2014-11-14 16:04,,1483
san jose west,Stunning Single Family Home near Good Samaritan Hospital ,4995,5,4749554424,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4749554424.html,2014-11-14 16:04,,2974
san jose east,Duet 3/2.5 Town Home Conveniently Located near light rail and 680 free,2200,3,4736200381,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4736200381.html,2014-11-14 16:04,,1300
petaluma,Incredible space. Inviting location. Make your home with us!,2320,2,4761849033,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761849033.html,2014-11-14 16:02,,1111
rohnert pk / cotati,1-Bedroom/1-Bathroom Apartments Available Now,1429,1,4761888282,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761888282.html,2014-11-14 16:02,,
santa rosa,2 Bedroom 2 Bath *Pet Friendly*,1804,2,4761874239,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761874239.html,2014-11-14 15:57,,873
petaluma,COMFORTABLE 2BR HOMES WITH SONOMA MOUNTAIN VIEWS!,1860,2,4761860266,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761860266.html,2014-11-14 15:57,,833
sebastopol,big 2 bedroom apartment,1500,2,4761881482,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761881482.html,2014-11-14 15:57,,900
sausalito,Sausalito Studio w/ Parking ,1800,,4761881441,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761881441.html,2014-11-14 15:57,,
vallejo / benicia,Casa de 3 recamaras en Vallejo cerca a la Escuela ,1700,3,4755401123,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4755401123.html,2014-11-14 16:05,,
vallejo / benicia,Beautiful 3 Bed 2 Bath Home In Vallejo (Hablo Espa�ol),1700,3,4758645868,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4758645868.html,2014-11-14 16:04,,
vallejo / benicia,Duplex de 2 recamaras con Garage en Vallejo,1200,2,4758760975,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4758760975.html,2014-11-14 16:04,,
vallejo / benicia,"Ready Now! 2 Bed 1 Bath Duplex on Warren St, Vallejo",1300,2,4758752396,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4758752396.html,2014-11-14 16:04,,
oakland downtown,Charming and Clean 2 Bedrooms 1 Bathroom ,1100,,4761903130,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761903130.html,2014-11-14 16:04,,
vallejo / benicia,Amplio duplex de 2 recamaras en Vallejo ,1300,2,4758757331,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4758757331.html,2014-11-14 16:04,,
oakland north / temescal,"Hardwood Floors, Dishwasher, Large Patio, ",1645,1,4761901549,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761901549.html,2014-11-14 16:03,,
oakland lake merritt / grand,Rare opportunity to live on the Lake. Modern & updated.,5375,2,4754874218,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4754874218.html,2014-11-14 16:02,,1600
mountain view, $499 Deposit ! Recently Remodeled Apartments Home,1925,1,4725351378,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4725351378.html,2014-11-14 15:29,,
san mateo,LAST ONE LEFT! Spacious Top Floor 1x1 in New Building. 1 month FREE!,3330,1,4745965341,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4745965341.html,2014-11-14 15:29,,915
mountain view, Recently Rermodeled 2x2 Apartmant Home,2495,2,4728445094,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4728445094.html,2014-11-14 15:29,,
mountain view, Recently Rermodeled 2x2 Apartmant Home,2495,2,4758159850,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4758159850.html,2014-11-14 15:29,,790
palo alto,Palo Alto 2 Large Master Bedrooms - Gunn High,2850,2,4761855175,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761855175.html,2014-11-14 15:28,,1250
mountain view, $499 Deposit ! Recently Remodeled Apartments Home,1925,1,4758170021,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4758170021.html,2014-11-14 15:28,,
palo alto,West Palo Alto. great patios and views.,2395,1,4751289631,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4751289631.html,2014-11-14 15:25,,715
palo alto,2BR/1BA Condo with W/D in unit and private patio,2750,2,4761845248,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761845248.html,2014-11-14 15:21,,906
inner richmond,Rare find! Amazing 2 Bedroom Flat in Inner Richmond,4500,2,4761868226,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761868226.html,2014-11-14 15:55,,2200
haight ashbury,"2bed/1bath w/ hrdwd flrs, gas stove, shrd lndry",3295,2,4761890593,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761890593.html,2014-11-14 15:55,,
ingleside / SFSU / CCSF,"OPEN HOUSE 11/15 Single Family home w/ Master Suite, Bonus room & Yard",3800,3,4761890146,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761890146.html,2014-11-14 15:54,,1771
castro / upper market,Fabulous Furnished Castro Flat w/ HW and Private Deck! ~ J.Wavro,4800,3,4761888583,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761888583.html,2014-11-14 15:53,,
noe valley,Large 2-Level Condo with View South - OPEN Sat 1-3,5450,3,4761867652,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761867652.html,2014-11-14 15:52,,1900
richmond / seacliff,Large 3 to 4 Bedroom Single Family Home,4495,3,4723996329,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4723996329.html,2014-11-14 15:49,,
mission district,Mission 2bd/2ba newer with large deck! ~ J.Wavro,4150,2,4761883358,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761883358.html,2014-11-14 15:49,,
SOMA / south beach,STUDIO CONDO W/ DOWNTOWN VIEW IN PRIME SOMA!!,2950,,4755655004,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4755655004.html,2014-11-14 15:48,,413
san jose west,Such A Great Price For This Spectacular Three Bedroom! Hurry!,3295,3,4761902295,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761902295.html,2014-11-14 16:04,,1334
san jose south,Newly Landscaped and Updated Single Family Home in San ,2695,4,4728694828,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4728694828.html,2014-11-14 16:03,,1495
cupertino,Get $500 off before it's gone on our 2bed/2bath!,2904,2,4761835337,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761835337.html,2014-11-14 16:03,,1147
,Beautiful Blossom Valley / South San Jose Home!!,2900,4,4718087277,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4718087277.html,2014-11-14 16:03,,1933
san jose west, Beautiful Duplex in West San Jose!! ,2400,3,4751222229,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4751222229.html,2014-11-14 16:03,,1200
san jose west," Updated 1 Bedroom, 1 Bath Upstairs Unit Near the Rose Garden! ",1350,1,4747412465,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4747412465.html,2014-11-14 16:03,,650
cupertino,"*Move in quickly SPECIAL, Cupertino Schools Here.* ",2750,2,4761871160,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761871160.html,2014-11-14 16:03,,960
san jose west, Beautiful Updated Almaden Valley Home!!! ,3350,3,4717558278,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4717558278.html,2014-11-14 16:03,,1750
santa rosa,5240 Old Redrood Hwy,1450,2,4751027895,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4751027895.html,2014-11-14 15:56,,
santa rosa,"3 bd, 2 bath on Humboldt Street. SRJC neighborhood",2050,3,4751279445,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4751279445.html,2014-11-14 15:55,,1465
petaluma,Spacious 1BR/1BA Apartment with New Appliances & an Outdoor Patio!,1516,1,4761862369,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761862369.html,2014-11-14 15:52,,616
san rafael,2bed Penthouse Flat in Victorian Masterpiece,1995,2,4761877021,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761877021.html,2014-11-14 15:51,,1170
santa rosa,3br Modular Home in North Santa Rosa,1550,3,4761830958,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761830958.html,2014-11-14 15:50,,1000
santa rosa,2 Bedroom 1 Bath *Huge Walk In Closet*,1735,2,4761871106,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761871106.html,2014-11-14 15:47,,780
261 Avian Dr.,"$300 off move in- Spacious 2br x1bath/ newly remodled, a must see!",1295,2,4761880229,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761880229.html,2014-11-14 15:47,,900
novato,Light & Bright Townhome Style Condo in Novato,1950,2,4756975847,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4756975847.html,2014-11-14 15:45,,
walnut creek, Spectacular One Bedroom!!!! $500.00 off first month rent,1502,1,4761830369,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761830369.html,2014-11-14 16:00,,640
emeryville,"3 bedroom craftsman, remodeled, big yard",3400,3,4761896424,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761896424.html,2014-11-14 15:59,,1141
hayward / castro valley,Large 1BR/1BA Apartment with Washer and Dryer,1891,1,4761885853,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761885853.html,2014-11-14 15:59,,873
oakland lake merritt / grand,1-bedroom+Large closet in 8 units,1225,1,4761895647,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761895647.html,2014-11-14 15:58,,550
fairfield / vacaville,Love The Outdoors? Spectacular Trails Nearby! Fitness Center & Spa!,1198,1,4761876017,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761876017.html,2014-11-14 15:57,,740
alameda,Move in ready 2 bed 1.5 bath,1175,2,4761796070,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761796070.html,2014-11-14 15:55,,1025
danville / san ramon,1x1 Available today! Special price!!!!,1778,1,4761890516,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761890516.html,2014-11-14 15:55,,848
danville / san ramon,1x1 Available soon! ,1808,1,4761890352,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761890352.html,2014-11-14 15:54,,707
berkeley,"3 bdrm craftsman, remodeled, big yard ",3400,3,4761888294,,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761888294.html,2014-11-14 15:53,,1141
daly city,Amazing view! Natural sunlight! 2 bedroom - 2 bath + den!,3119,2,4761812114,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761812114.html,2014-11-14 15:20,,1183
redwood city,Welcome to Montecito West! Close to shopping & more! ,2098,1,4761840826,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761840826.html,2014-11-14 15:18,,
san mateo,Centrally Located Luxury Apartments at Mode by Alta,2890,1,4761745608,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761745608.html,2014-11-14 15:18,,764
daly city,Come Home to your newly Renovated 2 bed 2 bath Available NOW,2745,2,4761822812,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761822812.html,2014-11-14 15:17,,915
east palo alto,Secluded Duplex Home near University Ave (some utilities included),1800,1,4761835568,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761835568.html,2014-11-14 15:15,,
woodside,"Private Redwood Retreat, Minutes to 280",7500,3,4723651625,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4723651625.html,2014-11-14 15:14,,3450
south san francisco,"Large SSF apt., brand new, 2-car parking. ~ J.Wavro",2600,2,4761831489,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761831489.html,2014-11-14 15:12,,
daly city,Lovely floor plan! 2 bedroom 2.5 bath townhouse! 1052 sqft!,3087,2,4761793924,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761793924.html,2014-11-14 15:12,,1052
mission district,"3 bedroom craftsman, remodeled, big yard",3400,3,4761881594,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761881594.html,2014-11-14 15:48,,1144
marina / cow hollow,Beautiful 2BR/1BA Flat w/Washer/Dryer in Unit & Private Storage Room!,3800,2,4736624987,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4736624987.html,2014-11-14 15:44,,
richmond / seacliff,Remodeled Lake Street 2br Flat ~ J.Wavro,4100,2,4761875721,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761875721.html,2014-11-14 15:43,,
ingleside / SFSU / CCSF,Top Floor Corner 2 BR 2 BA Available in SF Now!,3520,2,4761846895,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761846895.html,2014-11-14 15:43,,1051
downtown / civic / van ness,"36th Floor 2 Bed+Den, Downtown/Bay Views,Parking Available",7245,2,4761782451,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761782451.html,2014-11-14 15:43,,1442
haight ashbury,Beautiful 3 Bedroom 3 Bath Townhome Available 10/4,5900,3,4750492484,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4750492484.html,2014-11-14 15:43,,
downtown / civic / van ness,"1 Bed, 1 Bath - Soho Style Luxury Loft - Parking & Storage INCLD",3995,1,4758466658,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4758466658.html,2014-11-14 15:42,,
san jose downtown,Amazingly Renovated Townhome with Private Garage. Move in Ready!,2988,2,4746751153,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4746751153.html,2014-11-14 16:03,,1301
willow glen / cambrian,Luxury Condo in Willow Glen Place,3200,2,4758677154,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4758677154.html,2014-11-14 16:03,,1383
san jose downtown, Luxury Condo at Saddlerack Available Now!- Midtown Neighborhood San J,2350,1,4728121974,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4728121974.html,2014-11-14 16:03,,1108
sunnyvale,Studio Apartments Available Now!! On Special,1675,,4761901072,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761901072.html,2014-11-14 16:03,,500
san jose downtown,*** MUST RENT- Fabulous Home to Live in Hyde park San Jose Downtown,2700,3,4761900773,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761900773.html,2014-11-14 16:02,,
san jose west, Remodel ALL New/Cupertino Schools,2695,2,4724925286,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4724925286.html,2014-11-14 16:02,,1000
milpitas,3 bed/ 2 bath Move-in ASAP!! $250 OFF FIRST MONTH'S RENT,2895,3,4761881117,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761881117.html,2014-11-14 16:01,,1259
cupertino,Come Tour This Newly Renovated 2x2 with W/D and More!,3040,2,4761888215,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761888215.html,2014-11-14 16:01,,981
santa rosa,4 Bedroom home in Montgomery Village,2300,4,4761876279,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761876279.html,2014-11-14 15:44,,1400
santa rosa,1 Bedroom 1 Bath *Washer/Dryer In Unit*,1420,1,4761866474,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761866474.html,2014-11-14 15:42,,625
napa county,Angwin One Bedroom Apartment with Attached Garage,900,1,4761862751,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761862751.html,2014-11-14 15:34,,600
santa rosa,NORTH EAST BEAUTY IN A SERENE SETTING,1705,2,4755262130,,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4755262130.html,2014-11-14 15:32,,
